#header

 50 atoms
 2 atom types

 0.0 25.0 xlo xhi
 0.0 25.0 ylo yhi
 0.0 25.0 zlo zhi

 Masses

  1 35.45
  2 22.99

 Atoms # charge

1 2 1.0        8.4589910000       -0.7644060000        0.7887150000
2 2 1.0       11.9968300000        1.1374090000        8.7008620000
3 2 1.0       12.1394650000        9.0269310000        9.5516330000
4 2 1.0        0.3442730000        3.6154420000        5.4973810000
5 2 1.0        7.5591840000        4.2820130000        2.0119670000
6 2 1.0       12.2932050000        3.4752790000        2.5664800000
7 2 1.0        3.3172190000        3.4739850000        8.3191660000
8 2 1.0       13.0229200000       -0.9141650000        9.5205350000
9 2 1.0       10.4130140000        7.2672420000        9.2702710000
10 2 1.0        1.3088580000        4.1271630000       10.0721770000
11 2 1.0        6.1959730000        9.5334950000        2.2980700000
12 2 1.0       -0.4737230000        2.8281530000       -0.4442420000
13 2 1.0        2.7168100000        8.9024650000        9.6403930000
14 2 1.0        1.8059350000        5.1501020000        2.7705040000
15 2 1.0        8.2153300000        8.9049920000        8.5270850000
16 2 1.0       13.0275330000        1.2515690000        1.1025650000
17 2 1.0       -0.0062450000       11.4451470000       12.6145160000
18 2 1.0        2.6447600000        1.4098530000        7.2988580000
19 2 1.0        7.1593760000        3.8326010000        6.6720970000
20 2 1.0        9.8085460000        6.0283350000       11.2205230000
21 2 1.0        3.4373140000        9.6005270000       12.9958140000
22 2 1.0       11.9142150000       -0.8776290000        4.1285430000
23 2 1.0        9.5487450000        3.2715140000       10.7437110000
24 2 1.0        4.5562320000       12.0710320000        4.6373920000
25 2 1.0        1.8003220000       10.0482370000        5.5510230000
26 1 -1.0        1.2814020000        1.8441550000       10.4438990000
27 1 -1.0        0.0334310000        5.7110490000        6.9681100000
28 1 -1.0       -1.0150350000        9.4858340000       12.8932200000
29 1 -1.0       10.5378550000       10.4127450000        8.2985420000
30 1 -1.0        9.6759670000        3.5165230000        7.5315190000
31 1 -1.0        9.5409770000        5.2060210000        3.0836960000
32 1 -1.0        8.2578840000        2.8305520000        9.2143590000
33 1 -1.0        5.7206090000        1.9296190000        5.4367940000
34 1 -1.0       12.5898910000        7.0755970000        5.1687510000
35 1 -1.0       11.0472860000        0.6696060000        2.2515380000
36 1 -1.0        8.7962150000       11.8943830000        8.4871140000
37 1 -1.0       10.3711030000        9.7799180000        4.9744440000
38 1 -1.0        3.9045950000        0.9846590000       10.5290100000
39 1 -1.0       -0.9999490000       10.8633210000       10.5722760000
40 1 -1.0        2.6011650000       11.7184250000       12.9623080000
41 1 -1.0       10.0064930000        1.2201550000        9.8528580000
42 1 -1.0        0.2220640000        6.1644020000       -0.9700200000
43 1 -1.0        5.9815030000       10.4250250000       -0.9888740000
44 1 -1.0        2.0180240000       12.3021520000        3.5584590000
45 1 -1.0        7.2800380000        0.7437640000        9.8865780000
46 1 -1.0       -0.9936150000        8.0566760000        2.5666740000
47 1 -1.0        8.7827470000        8.2874540000       -0.6506560000
48 1 -1.0        8.8039750000        7.9486080000        2.6435520000
49 1 -1.0       11.2581770000        5.3595760000       12.9853090000
50 1 -1.0        3.0441700000        5.8655910000       12.1281250000
